Tiempo ,CONTROL,ANGULO,REFERENCIA,PERTURBACION
-0.4,0.0,0.0,0.0,0.0
-0.38,0.0,0.0,0.0,0.0
-0.36,0.0,0.0,0.0,0.0
-0.34,0.0,0.0,0.0,0.0
-0.32,0.0,0.0,0.0,0.0
-0.3,0.0,0.0,0.0,0.0
-0.28,0.0,0.0,0.0,0.0
-0.26,0.0,0.0,0.0,0.0
-0.24,0.0,0.0,0.0,0.0
-0.22,0.0,0.0,0.0,0.0
-0.2,0.0,0.0,0.0,0.0
-0.18,0.0,0.0,0.0,0.0
-0.16,0.0,0.0,0.0,0.0
-0.14,0.0,0.0,0.0,0.0
-0.12,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,0.0,0.0
-0.08,0.0,0.0,0.0,0.0
-0.06,0.0,0.0,0.0,0.0
-0.04,0.0,0.0,0.0,0.0
-0.02,0.0,0.0,0.0,0.0
0.0,0.0,-0.0,0.0,0.0
0.02,0.0,-0.0,0.0,0.0
0.04,0.132,-0.0,0.6,0.0
0.06,0.127,-0.0,0.6,0.0
0.08,0.124,-0.0,0.6,0.0
0.1,0.124,-0.0,0.6,0.0
0.12,0.126,-0.0,0.6,0.0
0.14,0.131,-0.0,0.6,0.0
0.16,0.137,-0.0,0.6,0.0
0.18,0.146,-0.0,0.6,0.0
0.2,0.157,-0.0,0.6,0.0
0.22,0.17,-0.0,0.6,0.0
0.24,0.185,-0.0,0.6,0.0
0.26,0.202,-0.0,0.6,0.0
0.28,0.22,-0.0,0.6,0.0
0.3,0.24,-0.0,0.6,0.0
0.32,0.262,-0.0,0.6,0.0
0.34,0.285,-0.0,0.6,0.0
0.36,0.309,-0.0,0.6,0.0
0.38,0.335,-0.0,0.6,0.0
0.4,0.363,-0.0,0.6,0.0
0.42,0.391,-0.0,0.6,0.0
0.44,0.421,-0.0,0.6,0.0
0.46,0.452,-0.0,0.6,0.0
0.48,0.485,-0.0,0.6,0.0
0.5,0.518,0.002,0.6,0.0
0.52,0.552,0.002,0.6,0.0
0.54,0.588,0.002,0.6,0.0
0.56,0.624,0.003,0.6,0.0
0.58,0.661,0.005,0.6,0.0
0.6,0.699,0.007,0.6,0.0
0.62,0.738,0.009,0.6,0.0
