Tiempo ,CONTROL,PID,ANGULO,REFERENCIA,PERTURBACION
-0.4,0.0,0.0,0.0,0.0,0.0
-0.38,0.0,0.0,0.0,0.0,0.0
-0.36,0.0,0.0,0.0,0.0,0.0
-0.34,0.0,0.0,0.0,0.0,0.0
-0.32,0.0,0.0,0.0,0.0,0.0
-0.3,0.0,0.0,0.0,0.0,0.0
-0.28,0.0,0.0,0.0,0.0,0.0
-0.26,0.0,0.0,0.0,0.0,0.0
-0.24,0.0,0.0,0.0,0.0,0.0
-0.22,0.0,0.0,0.0,0.0,0.0
-0.2,0.0,0.0,0.0,0.0,0.0
-0.18,0.0,0.0,0.0,0.0,0.0
-0.16,0.0,0.0,0.0,0.0,0.0
-0.14,0.0,0.0,0.0,0.0,0.0
-0.12,0.0,0.0,0.0,0.0,0.0
-0.1,0.0,0.0,0.0,0.0,0.0
-0.08,0.0,0.0,0.0,0.0,0.0
-0.06,0.0,0.0,0.0,0.0,0.0
-0.04,0.0,0.0,0.0,0.0,0.0
-0.02,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,-0.0,0.0,0.0
0.02,0.0,0.0,-0.0,0.0,0.0
0.04,0.158,0.158,-0.0,0.6,0.0
0.06,0.153,0.153,-0.0,0.6,0.0
0.08,0.15,0.15,-0.0,0.6,0.0
0.1,0.147,0.147,-0.0,0.6,0.0
0.12,0.146,0.146,-0.0,0.6,0.0
0.14,0.146,0.146,-0.0,0.6,0.0
0.16,0.146,0.146,-0.0,0.6,0.0
0.18,0.148,0.148,-0.0,0.6,0.0
0.2,0.15,0.15,-0.0,0.6,0.0
0.22,0.154,0.154,-0.0,0.6,0.0
0.24,0.158,0.158,-0.0,0.6,0.0
0.26,0.162,0.162,-0.0,0.6,0.0
0.28,0.168,0.168,-0.0,0.6,0.0
0.3,0.174,0.174,-0.0,0.6,0.0
0.32,0.181,0.181,-0.0,0.6,0.0
0.34,0.188,0.188,-0.0,0.6,0.0
0.36,0.196,0.196,-0.0,0.6,0.0
0.38,0.205,0.205,-0.0,0.6,0.0
0.4,0.214,0.214,-0.0,0.6,0.0
0.42,0.223,0.223,-0.0,0.6,0.0
0.44,0.234,0.234,-0.0,0.6,0.0
0.46,0.244,0.244,-0.0,0.6,0.0
0.48,0.255,0.255,-0.0,0.6,0.0
0.5,0.267,0.267,-0.0,0.6,0.0
0.52,0.278,0.278,-0.0,0.6,0.0
0.54,0.291,0.291,-0.0,0.6,0.0
0.56,0.303,0.303,-0.0,0.6,0.0
0.58,0.316,0.316,-0.0,0.6,0.0
0.6,0.33,0.33,-0.0,0.6,0.0
0.62,0.343,0.343,-0.0,0.6,0.0
0.64,0.357,0.357,-0.0,0.6,0.0
0.66,0.371,0.371,-0.0,0.6,0.0
0.68,0.386,0.386,-0.0,0.6,0.0
0.7,0.401,0.401,-0.0,0.6,0.0
0.72,0.416,0.416,-0.0,0.6,0.0
0.74,0.431,0.431,-0.0,0.6,0.0
0.76,0.447,0.447,-0.0,0.6,0.0
0.78,0.462,0.462,-0.0,0.6,0.0
0.8,0.478,0.478,-0.0,0.6,0.0
0.82,0.494,0.494,0.002,0.6,0.0
0.84,0.51,0.51,0.002,0.6,0.0
0.86,0.526,0.526,0.003,0.6,0.0
0.88,0.543,0.543,0.005,0.6,0.0
0.9,0.559,0.559,0.007,0.6,0.0
0.92,0.575,0.575,0.01,0.6,0.0
0.94,0.592,0.592,0.012,0.6,0.0
0.96,0.608,0.608,0.016,0.6,0.0
0.98,0.625,0.625,0.019,0.6,0.0
1.0,0.641,0.641,0.024,0.6,0.0
1.02,0.658,0.658,0.028,0.6,0.0
1.04,0.674,0.674,0.035,0.6,0.0
1.06,0.691,0.691,0.04,0.6,0.0
1.08,0.707,0.707,0.047,0.6,0.0
1.1,0.723,0.723,0.054,0.6,0.0
1.12,0.739,0.739,0.063,0.6,0.0
1.14,0.756,0.756,0.07,0.6,0.0
1.16,0.772,0.772,0.08,0.6,0.0
1.18,0.788,0.788,0.089,0.6,0.0
1.2,0.804,0.804,0.099,0.6,0.0
1.22,0.819,0.819,0.112,0.6,0.0
1.24,0.835,0.835,0.122,0.6,0.0
1.26,0.85,0.85,0.134,0.6,0.0
1.28,0.865,0.865,0.147,0.6,0.0
1.3,0.881,0.881,0.159,0.6,0.0
1.32,0.895,0.895,0.173,0.6,0.0
1.34,0.91,0.91,0.187,0.6,0.0
1.36,0.925,0.925,0.199,0.6,0.0
1.38,0.94,0.94,0.213,0.6,0.0
1.4,0.954,0.954,0.227,0.6,0.0
1.42,0.968,0.968,0.243,0.6,0.0
1.44,0.982,0.982,0.257,0.6,0.0
1.46,0.996,0.996,0.271,0.6,0.0
1.48,1.01,1.01,0.284,0.6,0.0
1.5,1.024,1.024,0.298,0.6,0.0
1.52,1.037,1.037,0.312,0.6,0.0
1.54,1.051,1.051,0.325,0.6,0.0
1.56,1.064,1.064,0.339,0.6,0.0
1.58,1.078,1.078,0.351,0.6,0.0
1.6,1.091,1.091,0.363,0.6,0.0
1.62,1.103,1.103,0.375,0.6,0.0
1.64,1.116,1.116,0.387,0.6,0.0
1.66,1.129,1.129,0.398,0.6,0.0
1.68,1.141,1.141,0.408,0.6,0.0
1.7,1.154,1.154,0.417,0.6,0.0
1.72,1.165,1.165,0.428,0.6,0.0
1.74,1.178,1.178,0.435,0.6,0.0
1.76,1.189,1.189,0.443,0.6,0.0
1.78,1.201,1.201,0.45,0.6,0.0
1.8,1.213,1.213,0.457,0.6,0.0
1.82,1.224,1.224,0.463,0.6,0.0
1.84,1.235,1.235,0.468,0.6,0.0
1.86,1.246,1.246,0.473,0.6,0.0
1.88,1.257,1.257,0.476,0.6,0.0
1.9,1.268,1.268,0.48,0.6,0.0
1.92,1.279,1.279,0.482,0.6,0.0
1.94,1.29,1.29,0.483,0.6,0.0
1.96,1.3,1.3,0.485,0.6,0.0
1.98,1.31,1.31,0.487,0.6,0.0
2.0,1.32,1.32,0.487,0.6,0.0
2.02,1.33,1.33,0.487,0.6,0.0
2.04,1.34,1.34,0.485,0.6,0.0
2.06,1.349,1.349,0.485,0.6,0.0
2.08,1.359,1.359,0.483,0.6,0.0
2.1,1.368,1.368,0.482,0.6,0.0
2.12,1.377,1.377,0.48,0.6,0.0
2.14,1.386,1.386,0.476,0.6,0.0
2.16,1.395,1.395,0.475,0.6,0.0
2.18,1.404,1.404,0.471,0.6,0.0
2.2,1.412,1.412,0.468,0.6,0.0
2.22,1.421,1.421,0.466,0.6,0.0
2.24,1.429,1.429,0.463,0.6,0.0
2.26,1.437,1.437,0.459,0.6,0.0
2.28,1.445,1.445,0.457,0.6,0.0
2.3,1.453,1.453,0.454,0.6,0.0
2.32,1.46,1.46,0.452,0.6,0.0
2.34,1.468,1.468,0.449,0.6,0.0
2.36,1.475,1.475,0.447,0.6,0.0
2.38,1.482,1.482,0.445,0.6,0.0
2.4,1.489,1.489,0.443,0.6,0.0
2.42,1.496,1.496,0.442,0.6,0.0
2.44,1.503,1.503,0.44,0.6,0.0
2.46,1.509,1.509,0.44,0.6,0.0
2.48,1.515,1.515,0.44,0.6,0.0
2.5,1.521,1.521,0.44,0.6,0.0
2.52,1.528,1.528,0.44,0.6,0.0
2.54,1.533,1.533,0.442,0.6,0.0
2.56,1.539,1.539,0.443,0.6,0.0
2.58,1.545,1.545,0.445,0.6,0.0
2.6,1.55,1.55,0.447,0.6,0.0
2.62,1.555,1.555,0.45,0.6,0.0
2.64,1.561,1.561,0.454,0.6,0.0
2.66,1.566,1.566,0.457,0.6,0.0
2.68,1.571,1.571,0.461,0.6,0.0
2.7,1.576,1.576,0.466,0.6,0.0
2.72,1.58,1.58,0.471,0.6,0.0
2.74,1.585,1.585,0.476,0.6,0.0
2.76,1.589,1.589,0.482,0.6,0.0
